#,author,year,variable,n,n1,n2,G1,G2,G2_type,mean_G1,sd_G1,se_G1,mean_G2,sd_G2,se_G2,country,auth_year
6,Yu,2009,N1_p,23,13,10,HC,AD,AD,18.57,9.59,2.6597874408999735,21.54,11.9,3.763110415600371,Taiwan,Yu_2009
6,Yu,2009,N2_p,23,13,10,HC,AD,AD,61.7,11.56,3.2061671341818245,59.26,11.15,3.525939591087743,Taiwan,Yu_2009
6,Yu,2009,N3_p,23,13,10,HC,AD,AD,4.35,5.71,1.5836690602230292,4.56,7.95,2.5140107398338616,Taiwan,Yu_2009
6,Yu,2009,REM_p,23,13,10,HC,AD,AD,15.33,7.77,2.155010262335015,14.19,7.46,2.359059134485611,Taiwan,Yu_2009
6,Yu,2009,TST_m,23,13,10,HC,AD,AD,333.54,61.4,17.029296024114533,310,96.1,30.38948831421812,Taiwan,Yu_2009
6,Yu,2009,SE_p,23,13,10,HC,AD,AD,79.14,11.06,3.0674920851255174,68.71,21.04,6.653432196994269,Taiwan,Yu_2009
8,Maestri,2015,N1_p,30,20,10,HC,FTDbv,FTD,7.8,3.2,0.7155417527999327,29.2,18.6,5.8818364479131855,Italy,Maestri_2015
8,Maestri,2015,N2_p,30,20,10,HC,FTDbv,FTD,46.7,10.1,2.2584286572747874,50.5,14.6,4.6169253838458335,Italy,Maestri_2015
8,Maestri,2015,N3_p,30,20,10,HC,FTDbv,FTD,23.3,5.0,1.118033988749895,9.1,5.3,1.676007159889241,Italy,Maestri_2015
8,Maestri,2015,REM_p,30,20,10,HC,FTDbv,FTD,22.2,7.1,1.5876082640248506,10.7,4.4,1.3914021704740869,Italy,Maestri_2015
8,Maestri,2015,WASO_m,30,20,10,HC,FTDbv,FTD,107.2,75.8,16.949395269448406,87.6,46.5,14.704591119782963,Italy,Maestri_2015
8,Maestri,2015,SL_m,30,20,10,HC,FTDbv,FTD,25.2,26.0,5.813776741499453,36,26.1,8.25354469303947,Italy,Maestri_2015
8,Maestri,2015,TST_m,30,20,10,HC,FTDbv,FTD,401.5,68.0,15.205262246998569,225.4,56.1,17.740377673544607,Italy,Maestri_2015
8,Maestri,2015,SE_p,30,20,10,HC,FTDbv,FTD,82.1,13.8,3.08577380894971,73.1,15.6,4.9331531498626715,Italy,Maestri_2015
9,Dykierek,1998,N1_p,77,42,35,HC,AD,AD,12.1,7.2,1.1109841197270618,15.4,10.3,1.7410177647407443,Germany,Dykierek_1998
9,Dykierek,1998,N2_p,77,42,35,HC,AD,AD,54.8,10.0,1.543033499620919,51.8,18.3,3.0932645723063708,Germany,Dykierek_1998
9,Dykierek,1998,REM_p,77,42,35,HC,AD,AD,17.2,5.0,0.7715167498104595,15.5,6.2,1.0479912758633605,Germany,Dykierek_1998
9,Dykierek,1998,SL_m,77,42,35,HC,AD,AD,25.3,15.9,2.4534232643972613,29.1,30.1,5.08782861346567,Germany,Dykierek_1998
9,Dykierek,1998,TST_m,77,42,35,HC,AD,AD,384.9,41.0,6.3264373484457685,359.6,85.9,14.519750096235915,Germany,Dykierek_1998
9,Dykierek,1998,SE_p,77,42,35,HC,AD,AD,80,8.5,1.3115784746777812,74.9,17.9,3.025652231928089,Germany,Dykierek_1998
12,Chen,2012,SL_m,65,22,43,HC,Pooled_AD+Mild_AD,Mild-AD,10.5,5.5,1.1726039399558574,19.567442,16.430187,2.505580027797347,China,Chen_2012
12,Chen,2012,WASO_m,65,22,43,HC,Pooled_AD+Mild_AD,Mild-AD,89,33.6,7.163544069548511,185.327907,90.873277,13.858044823938767,China,Chen_2012
12,Chen,2012,N1_p,65,22,43,HC,Pooled_AD+Mild_AD,Mild-AD,22.5,9.0,1.9188064472004938,25.82093,16.093722,2.454269596330387,China,Chen_2012
12,Chen,2012,N2_p,65,22,43,HC,Pooled_AD+Mild_AD,Mild-AD,54,9.1,1.9401265188360548,56.574419,15.062293,2.296978148430799,China,Chen_2012
12,Chen,2012,REM_p,65,22,43,HC,Pooled_AD+Mild_AD,Mild-AD,19.9,1.4,0.29848100289785456,17.837209,6.105911,0.9311426980781246,China,Chen_2012
12,Chen,2012,TST_m,65,22,43,HC,Pooled_AD+Mild_AD,Mild-AD,420.9,42.6,9.082350516749004,327.998372,79.084243,12.060233993336299,China,Chen_2012
12,Chen,2012,SE_p,65,22,43,HC,Pooled_AD+Mild_AD,Mild-AD,78,3.8,0.8101627221513196,62.848837,14.897753,2.271886033668272,China,Chen_2012
15,Bonakis,2014,N1_p,49,20,29,HC,Pooled_AD+FTDbv,AD,8.8,5.93,1.325988310657375,17.12069,8.244366,1.5309403324253883,Greece,Bonakis_2014
15,Bonakis,2014,N2_p,49,20,29,HC,Pooled_AD+FTDbv,AD,53.8,10.01,2.2383040454772893,33.437931,13.635403,2.532030771265388,Greece,Bonakis_2014
15,Bonakis,2014,REM_p,32,20,12,HC,FTDbv,FTD,17.9,7.14,1.5965525359348498,11.1,6.17,1.7811255804499955,Greece,Bonakis_2014
15,Bonakis,2014,N3_p,32,20,12,HC,FTDbv,FTD,19.4,10.42,2.329982832554781,17.6,9.36,2.7019992598074487,Greece,Bonakis_2014
15,Bonakis,2014,TST_m,49,20,29,HC,Pooled_AD+FTDbv,AD,355.8,65.15,14.56798287341113,303.751724,77.344989,14.362603888655357,Greece,Bonakis_2014
15,Bonakis,2014,SE_p,49,20,29,HC,Pooled_AD+FTDbv,AD,80.3,10.46,2.33892710446478,75.441379,16.586779,3.080087535673022,Greece,Bonakis_2014
16,Liguori,2017,SL_m,36,18,18,HC,AD,AD,12.25,10.98,2.5880108191427644,24.03,30.81,7.2619866427858435,Italy,Liguori_2017
16,Liguori,2017,WASO_m,36,18,18,HC,AD,AD,104.39,75.37,17.76487936601003,150.33,86.9,20.48252642837033,Italy,Liguori_2017
16,Liguori,2017,N1_p,36,18,18,HC,AD,AD,21.09,8.44,1.9893270777381538,30.52,24.52,5.779419424898049,Italy,Liguori_2017
16,Liguori,2017,N2_p,36,18,18,HC,AD,AD,44.81,8.98,2.1166062983517326,39.36,30.06,7.085209947489207,Italy,Liguori_2017
16,Liguori,2017,N3_p,36,18,18,HC,AD,AD,18.02,1.94,0.4572623851673008,12.35,12.83,3.0240600008744685,Italy,Liguori_2017
16,Liguori,2017,REM_p,36,18,18,HC,AD,AD,15.98,3.31,0.7801744819091575,7.29,3.95,0.9310239285622877,Italy,Liguori_2017
16,Liguori,2017,SE_p,36,18,18,HC,AD,AD,81.24,10.92,2.5738686835190334,71.4,13.13,3.0947706789931235,Italy,Liguori_2017
16,Liguori,2017,TST_m,36,18,18,HC,AD,AD,375.14,77.09,18.17028725389032,351.56,73.15,17.24162034793199,Italy,Liguori_2017
17,Gorgoni,2016,REM_p,30,15,15,HC,AD,AD,15.22,1.53,0.39504430131315654,10.66,2.78,0.7177929134971078,Italy,Gorgoni_2016
17,Gorgoni,2016,WASO_m,30,15,15,HC,AD,AD,90.37,8.98,2.318626029929507,92.24,14.25,3.679334178897046,Italy,Gorgoni_2016
17,Gorgoni,2016,TST_m,30,15,15,HC,AD,AD,303.36,17.22,4.446184881446114,263.82,22.46,5.799147063721239,Italy,Gorgoni_2016
17,Gorgoni,2016,SE_p,30,15,15,HC,AD,AD,74.13,2.98,0.7694326914465401,67.56,4.15,1.0715253924507187,Italy,Gorgoni_2016
19,Liu,2020,N1_p,60,30,30,HC,AD,AD,4.65,2.44,0.4454810134375351,12.38,2.35,0.42904933671238016,China,Liu_2020
19,Liu,2020,N2_p,60,30,30,HC,AD,AD,46.56,5.61,1.0242411825346607,55.98,4.36,0.7960234502408414,China,Liu_2020
19,Liu,2020,N3_p,60,30,30,HC,AD,AD,23.52,2.83,0.5166849459132067,15.62,3.52,0.6426611341393949,China,Liu_2020
19,Liu,2020,REM_p,60,30,30,HC,AD,AD,25.26,6.49,1.1849064660695094,16.02,3.21,0.5860631365305278,China,Liu_2020
19,Liu,2020,SL_m,60,30,30,HC,AD,AD,19.74,15.41,2.813468203718203,32.7,22.25,4.062275634829982,China,Liu_2020
19,Liu,2020,WASO_m,60,30,30,HC,AD,AD,59.57,34.62,6.320718313609617,92.37,42.45,7.750274188698101,China,Liu_2020
19,Liu,2020,TST_m,60,30,30,HC,AD,AD,400.83,70.43,12.85869990836295,314.33,53.12,9.69834075155814,China,Liu_2020
19,Liu,2020,SE_p,60,30,30,HC,AD,AD,82.4,8.17,1.4916310982724024,72.23,8.46,1.5445776121645687,China,Liu_2020
20,De Gennaro,2017,N1_p,40,20,20,HC,AD,AD,6.71,1.04,0.23255106965997813,11.59,2.39,0.5344202466224497,Italy,De Gennaro_2017
20,De Gennaro,2017,N2_p,40,20,20,HC,AD,AD,76.76,1.78,0.3980200999949626,74.9,2.65,0.5925580140374442,Italy,De Gennaro_2017
20,De Gennaro,2017,REM_p,40,20,20,HC,AD,AD,15.93,1.28,0.28621670111997305,13.58,2.54,0.5679612662849466,Italy,De Gennaro_2017
20,De Gennaro,2017,WASO_m,60,20,40,HC,Pooled_AD,AD,83.86,8.24,1.8425200134598267,85.12,9.883708,1.5627514504013746,Italy,De Gennaro_2017
20,De Gennaro,2017,TST_m,40,20,20,HC,AD,AD,260.67,18.74,4.1903913898346055,300.12,14.88,3.327269150519687,Italy,De Gennaro_2017
20,De Gennaro,2017,SE_p,40,20,20,HC,AD,AD,66.74,3.66,0.818400879764923,75.23,2.68,0.5992662179699436,Italy,De Gennaro_2017
21,Liguori,2020,N1_p,145,41,104,HC,Pooled_AD+Mild_AD,Mild-AD,15.37,3.35,0.5231821023268304,32.323846,9.834135,0.9643162743135728,Italy,Liguori_2020
21,Liguori,2020,N2_p,145,41,104,HC,Pooled_AD+Mild_AD,Mild-AD,50.9,3.45,0.538799478515691,52.882308,9.336727,0.9155414070401658,Italy,Liguori_2020
21,Liguori,2020,N3_p,145,41,104,HC,Pooled_AD+Mild_AD,Mild-AD,17.83,1.46,0.22801369235736485,9.08,7.007037,0.6870965076051279,Italy,Liguori_2020
21,Liguori,2020,REM_p,145,41,104,HC,Pooled_AD+Mild_AD,Mild-AD,15.9,2.96,0.46227433519027394,5.574615,3.914659,0.3838638967319542,Italy,Liguori_2020
21,Liguori,2020,WASO_m,145,41,104,HC,Pooled_AD+Mild_AD,Mild-AD,31.95,12.42,1.9396781226564874,94.738462,45.082227,4.420676061331145,Italy,Liguori_2020
21,Liguori,2020,TST_m,145,41,104,HC,Pooled_AD+Mild_AD,Mild-AD,367.22,60.93,9.515667311872768,288.409231,56.320805,5.522709302235656,Italy,Liguori_2020
21,Liguori,2020,SE_p,145,41,104,HC,Pooled_AD+Mild_AD,Mild-AD,89.15,2.27,0.3545144394871358,71.335385,8.591373,0.842453434145273,Italy,Liguori_2020
21,Liguori,2020,SL_m,145,41,104,HC,Pooled_AD+Mild_AD,Mild-AD,12.95,6.34,0.9901416503737624,22.218462,20.189694,1.9797623784512917,Italy,Liguori_2020
23,Falgàs,2023,REM_p,33,14,19,HC,Non-amnestic AD,AD,23.4,6.1,1.6302935756657886,15.9,7.2,1.6517932838680447,USA,Falgàs_2023
23,Falgàs,2023,WASO_m,48,14,34,HC,Pooled_AD+DLB,AD,79.93,54.1,14.45883318746216,113.714706,61.013119,10.463663583631524,USA,Falgàs_2023
24,Oh,2022,TST_m,85,32,53,HC,Pooled_PDMCI+PDD,FTD,374.34,77.44,13.689587283771559,356.688679,114.133854,15.677490551077337,USA,Oh_2022
24,Oh,2022,WASO_m,85,32,53,HC,Pooled_AD+PSP,FTD,91.67,54.73,9.674988533584935,129.350943,92.843859,12.753084831412567,USA,Oh_2022
27,Azami,2023,N1_p,54,35,19,HC,AD,AD,15,7.0,1.1832159566199232,13,7,1.6059101370939322,USA,Azami_2023
27,Azami,2023,N2_p,54,35,19,HC,AD,AD,60,10.0,1.6903085094570331,64,13,2.9824045403173027,USA,Azami_2023
27,Azami,2023,N3_p,54,35,19,HC,AD,AD,0.2,0.8,0.13522468075656266,1.4,4.3,0.9864876556434155,USA,Azami_2023
27,Azami,2023,REM_p,54,35,19,HC,AD,AD,24,9.0,1.52127765851133,21,9,2.0647416048350555,USA,Azami_2023
29,Levendowski,2023,REM_p,122,61,61,HC,Pooled_PSP+DLB+AD,FTD,21.2,5.8,0.7426139036107967,11.670492,8.051612,1.0309032789102646,USA,Levendowski_2023
29,Levendowski,2023,TST_m,122,61,61,HC,Pooled_PSP+DLB+AD,AD,378.0,54.0,6.913991516376383,359.311475,79.942096,10.235536547136045,USA,Levendowski_2023
29,Levendowski,2023,SE_p,122,61,61,HC,Pooled_PSP+DLB+AD,AD,86.4,6.7,0.8578470955504031,71.327843,17.784423,2.2770620323268336,USA,Levendowski_2023
34,Liguori,2019,WASO_m,40,20,20,HC,AD,AD,36.76,17.3,3.868397601074636,128.92,47.25,10.565421193686506,Italy,Liguori_2019
34,Liguori,2019,TST_m,40,20,20,HC,AD,AD,298.25,67.37,15.064389964416083,287.59,61.73,13.8032476251062,Italy,Liguori_2019
34,Liguori,2019,SE_p,40,20,20,HC,AD,AD,88.22,4.63,1.0352994735824026,68.47,8.57,1.9163102567173198,Italy,Liguori_2019
36,Liguori,2014,WASO_m,69,21,48,HC,Pooled_AD+Mild_AD,AD,49.33,8.46,1.8461233513964959,150.8756,73.2604,10.574227915234916,Italy,Liguori_2014
36,Liguori,2014,N1_p,102,21,81,HC,Pooled_AD+Mild_AD,AD,15.27,3.55,0.774673510337773,33.726667,10.163071,1.1292301111111112,Italy,Liguori_2014
36,Liguori,2014,N3_p,102,21,81,HC,Pooled_AD+Mild_AD,AD,17.87,1.19,0.25967928938083096,8.806667,7.304236,0.8115817777777778,Italy,Liguori_2014
36,Liguori,2014,REM_p,102,21,81,HC,Pooled_AD+Mild_AD,AD,15.27,3.22,0.7026616065598955,5.126667,4.253951,0.4726612222222222,Italy,Liguori_2014
36,Liguori,2014,TST_m,63,15,48,HC,Pooled_AD+Mild_AD,Mild-AD,382.2,32.95,8.50765341716896,377.713,61.922024,8.937674306291617,Italy,Liguori_2014
36,Liguori,2014,SE_p,63,15,48,HC,Pooled_AD+Mild_AD,Mild-AD,89.54,2.26,0.5835294908285841,71.8475,11.489083,1.6583062906979884,Italy,Liguori_2014
36,Liguori,2014,SL_m,63,15,48,HC,Pooled_AD+Mild_AD,Mild-AD,11.67,4.58,1.182550915041998,20.58,23.61,3.4078099638917663,Italy,Liguori_2014
36,Liguori,2014,N2_p,111,15,96,HC,Pooled_AD+Mild_AD,AD,51.6,4.03,1.0405415256810593,51.663333,9.405669,0.9599620724797381,Italy,Liguori_2014
37,Loewenstein,1982,SL_m,17,8,9,HC,AD,AD,20,8.0,2.82842712474619,25,14,4.666666666666667,USA,Loewenstein_1982
37,Loewenstein,1982,N1_p,17,8,9,HC,AD,AD,5.8,1.8,0.6363961030678927,6.4,4.1,1.3666666666666665,USA,Loewenstein_1982
37,Loewenstein,1982,N2_p,17,8,9,HC,AD,AD,63.9,8.0,2.82842712474619,66,10.5,3.5,USA,Loewenstein_1982
37,Loewenstein,1982,N3_p,17,8,9,HC,AD,AD,7.8,4.6,1.626345596729059,3.9,5.3,1.7666666666666666,USA,Loewenstein_1982
37,Loewenstein,1982,REM_p,17,8,9,HC,AD,AD,19.7,3.8,1.34350288425444,19.9,2.7,0.9,USA,Loewenstein_1982
37,Loewenstein,1982,TST_m,17,8,9,HC,AD,AD,374,32.0,11.31370849898476,340,78,26.0,USA,Loewenstein_1982
37,Loewenstein,1982,SE_p,17,8,9,HC,AD,AD,83.8,4.7,1.6617009357883867,77.7,13.9,4.633333333333334,USA,Loewenstein_1982
38,Hot,2011,SE_p,28,14,14,HC,AD,AD,81,10.0,2.6726124191242437,72,10,2.6726124191242437,France,Hot_2011
38,Hot,2011,TST_m,28,14,14,HC,AD,AD,371,57.0,15.233890789008191,386,86,22.984466804468497,France,Hot_2011
38,Hot,2011,SL_m,28,14,14,HC,AD,AD,17,19.0,5.077963596336064,34,33,8.819620983110005,France,Hot_2011
39,Martin,1986,SL_m,24,9,15,HC,Pooled_AD+Korsakoff,AD,20,7.9,2.6333333333333333,26.43333,14.034074,3.6235823254295005,USA,Martin_1986
39,Martin,1986,N1_p,17,9,8,HC,AD,AD,5.8,1.9,0.6333333333333333,6.7,4.3,1.520279579551077,USA,Martin_1986
39,Martin,1986,N2_p,17,9,8,HC,AD,AD,63.9,8.1,2.6999999999999997,69.7,7,2.4748737341529163,USA,Martin_1986
39,Martin,1986,N3_p,17,9,8,HC,AD,AD,7.9,4.6,1.5333333333333332,3.9,4.8,1.6970562748477138,USA,Martin_1986
39,Martin,1986,REM_p,17,9,8,HC,AD,AD,19.7,3.8,1.2666666666666666,19.9,3.6,1.2727922061357855,USA,Martin_1986
39,Martin,1986,TST_m,24,9,15,HC,Pooled_AD+Korsakoff,AD,374,31.7,10.566666666666666,336.333,65.753682,16.97752768918789,USA,Martin_1986
39,Martin,1986,SE_p,24,9,15,HC,Pooled_AD+Korsakoff,AD,83.8,4.7,1.5666666666666667,78.53333,10.672238,2.755560002717463,USA,Martin_1986
40,Rauchs,2008,SL_m,28,14,14,HC,AD,AD,19.6,20.5,5.4788554592047,30.6,32.9,8.792894858918762,France,Rauchs_2008
40,Rauchs,2008,N1_p,28,14,14,HC,AD,AD,12.4,5.2,1.389758457944607,13.9,9,2.4053511772118195,France,Rauchs_2008
40,Rauchs,2008,N2_p,28,14,14,HC,AD,AD,61.2,4.4,1.1759494644146673,55.8,12,3.2071349029490928,France,Rauchs_2008
40,Rauchs,2008,REM_p,28,14,14,HC,AD,AD,12.3,5.5,1.4699368305183342,14.5,6.4,1.710471948239516,France,Rauchs_2008
40,Rauchs,2008,TST_m,28,14,14,HC,AD,AD,387.3,65.7,17.559063593646282,393.6,101,26.993385433154863,France,Rauchs_2008
40,Rauchs,2008,SE_p,28,14,14,HC,AD,AD,78.5,11.0,2.9398736610366685,73.6,13.4,3.5813006416264868,France,Rauchs_2008
40,Rauchs,2008,WASO_m,28,14,14,HC,AD,AD,85.8,42.9,11.465507278043006,103.5,59.2,15.821865521215525,France,Rauchs_2008
45,Rauchs,2013,WASO_m,27,14,13,HC,AD,AD,19.6,9.3,2.485529549785547,23.7,10.1,2.801235990937407,France,Rauchs_2013
45,Rauchs,2013,N1_p,27,14,13,HC,AD,AD,13.1,4.4,1.1759494644146673,18.2,5.4,1.497690529808119,France,Rauchs_2013
45,Rauchs,2013,N2_p,27,14,13,HC,AD,AD,31.2,7.5,2.004459314343183,26.7,7.7,2.1355957554671323,France,Rauchs_2013
45,Rauchs,2013,REM_p,27,14,13,HC,AD,AD,12.6,6.0,1.6035674514745464,12.6,6.5,1.8027756377319948,France,Rauchs_2013
45,Rauchs,2013,SL_m,27,14,13,HC,AD,AD,77.7,10.5,2.806243040080456,72.3,10.9,3.0231160694274988,France,Rauchs_2013
45,Rauchs,2013,TST_m,27,14,13,HC,AD,AD,385.2,68.5,18.30739507100107,387.3,91.2,25.29432894787045,France,Rauchs_2013
45,Rauchs,2013,SE_p,27,14,13,HC,AD,AD,77.7,10.5,2.806243040080456,72.3,10.9,3.0231160694274988,France,Rauchs_2013
47,Hoch,1988,SL_m,43,23,20,HC,AD,AD,22.8,17.1,3.565596480375979,61.7,67.7,15.138180207673576,USA,Hoch_1988
47,Hoch,1988,N1_p,43,23,20,HC,AD,AD,10.1,8.5,1.7723725194851356,12.4,11.6,2.5938388538997557,USA,Hoch_1988
47,Hoch,1988,N2_p,43,23,20,HC,AD,AD,64.5,8.6,1.7932239608908431,49.8,24.8,5.5454485841994785,USA,Hoch_1988
47,Hoch,1988,REM_p,43,23,20,HC,AD,AD,20.1,4.6,0.9591663046625439,18.4,6.5,1.4534441853748632,USA,Hoch_1988
47,Hoch,1988,TST_m,43,23,20,HC,AD,AD,367.8,46.0,9.59166304662544,374.4,69.3,15.49595108407354,USA,Hoch_1988
47,Hoch,1988,SE_p,43,23,20,HC,AD,AD,84.3,7.5,1.563858105428061,71.5,14.9,3.3317412864746867,USA,Hoch_1988
48,Brunetti,2020,WASO_m,91,47,44,HC,AD,AD,84.41,51.87,7.566017108995791,84.16,48.78,7.353861694251655,Italy,Brunetti_2020
48,Brunetti,2020,N2_p,91,47,44,HC,AD,AD,73.75,9.47,1.3813414694850616,76.46,6.62,0.9980025505523976,Italy,Brunetti_2020
48,Brunetti,2020,REM_p,91,47,44,HC,AD,AD,15.68,9.43,1.3755068698251456,15.21,6.04,0.9105642606248462,Italy,Brunetti_2020
49,Sobreira,2019,SE_p,107,29,78,HC,Pooled_PDMCI+PDD,PDMCI,72.6,16.1,2.989694944650535,61.55,19.79519,2.241363902352876,Brazil,Sobreira_2019
49,Sobreira,2019,TST_m,107,29,78,HC,Pooled_PDMCI+PDD,PDMCI,324.0,72.0,13.370064348747736,267,80.322564,9.094739454080948,Brazil,Sobreira_2019
49,Sobreira,2019,WASO_m,107,29,78,HC,Pooled_PDMCI+PDD,PDMCI,112,70.6,13.11009087529986,138.2,83.216412,9.422403217151475,Brazil,Sobreira_2019
51,Bonanni,2005,REM_p,21,12,9,HC,AD (CDR 2),AD,18.7,2.4,0.6928203230275509,12.8,9,3.0,Italy,Bonanni_2005
51,Bonanni,2005,TST_m,32,12,20,HC,Pooled_AD_cdr1+cdr2,AD,357,85.7,24.739459034775468,350.735,60.330016,13.490201685964994,Italy,Bonanni_2005
51,Bonanni,2005,SL_m,32,12,20,HC,Pooled_AD_cdr1+cdr2,AD,15.7,35.9,10.363437331953783,11.015,22.219367,4.968401502901556,Italy,Bonanni_2005
51,Bonanni,2005,SE_p,32,12,20,HC,Pooled_AD_cdr1+cdr2,AD,80,15.1,4.358994532381675,76.665,9.67653,2.163737886631604,Italy,Bonanni_2005
51,Bonanni,2005,WASO_m,32,12,20,HC,Pooled_AD_cdr1+cdr2,AD,72,58.0,16.74315780649915,89.585,30.605095,6.843507287783892,Italy,Bonanni_2005
57,Hibi,2012,TST_m,31,10,21,HC,Pooled_AD+DLB,DLB,341.8,70.5,22.294057504187073,327.3,101.825348,22.22011261310573,Japan,Hibi_2012
57,Hibi,2012,SE_p,31,10,21,HC,Pooled_AD+DLB,DLB,76.5,12.5,3.952847075210474,75.957143,11.07423,2.416595106588134,Japan,Hibi_2012
57,Hibi,2012,SL_m,31,10,21,HC,Pooled_AD+DLB,DLB,21.8,16.5,5.217758139277826,23.785714,24.456212,5.33678298580416,Japan,Hibi_2012
58,D'Atri,2021,SL_m,100,50,50,HC,AD,AD,16.52,16.35,2.3122391744800104,35.86,42.32,5.984951795962938,Italy,D'Atri_2021
58,D'Atri,2021,WASO_m,100,50,50,HC,AD,AD,78.94,47.71,6.747212906082036,82.63,50.75,7.177133829043457,Italy,D'Atri_2021
58,D'Atri,2021,N1_p,100,50,50,HC,AD,AD,6.62,5.12,0.7240773439350247,9.94,9.46,1.337846030004948,Italy,D'Atri_2021
58,D'Atri,2021,N2_p,100,50,50,HC,AD,AD,76.54,5.86,0.8287291475506338,74.28,9.52,1.3463313113791864,Italy,D'Atri_2021
58,D'Atri,2021,N3_p,100,50,50,HC,AD,AD,0.65,1.16,0.164048773235279,0.2,0.48,0.06788225099390856,Italy,D'Atri_2021
58,D'Atri,2021,REM_p,100,50,50,HC,AD,AD,16.19,5.56,0.7863027406794407,15.58,9.16,1.2954196231337551,Italy,D'Atri_2021
58,D'Atri,2021,TST_m,100,50,50,HC,AD,AD,290.72,60.32,8.530536208234508,270.09,60.32,8.530536208234508,Italy,D'Atri_2021
58,D'Atri,2021,SE_p,100,50,50,HC,AD,AD,75.51,13.23,1.8710045430196047,69.27,15.78,2.2316290014247437,Italy,D'Atri_2021
59,Walsh,2017,SE_p,35,16,19,HC,PSP,FTD,77.11,13.4,3.35,50.76,18.8,4.313015796766561,USA,Walsh_2017
59,Walsh,2017,SL_m,35,16,19,HC,PSP,FTD,10.2,8.0,2.0,56.39,58.8,13.48964515158903,USA,Walsh_2017
59,Walsh,2017,TST_m,35,16,19,HC,PSP,FTD,371.75,80.0,20.0,247,103.04,23.638997218022684,USA,Walsh_2017
60,Gross,1977,N1_p,7,3,4,HC,PSP,FTD,9.7,2.32,1.3394526245199319,34.7,20.42,10.21,USA,Gross_1977
60,Gross,1977,N2_p,7,3,4,HC,PSP,FTD,56.4,5.27,3.042635918629328,50.2,19.78,9.89,USA,Gross_1977
60,Gross,1977,REM_p,7,3,4,HC,PSP,FTD,24.8,2.19,1.2643970895252805,6,3.39,1.695,USA,Gross_1977
60,Gross,1977,TST_m,7,3,4,HC,PSP,FTD,411.1,66.49,38.388019398418216,242.9,44.79,22.395,USA,Gross_1977
61,Boini,2022,TST_m,36,15,21,HC,PSP,FTD,430.6,98.7,25.484230418044802,430,62.3,13.594974561702326,India,Boini_2022
61,Boini,2022,WASO_m,36,15,21,HC,PSP,FTD,176.4,76.9,19.85549462155669,90.7,47.4,10.343527997186039,India,Boini_2022
61,Boini,2022,SL_m,36,15,21,HC,PSP,FTD,48.4,68.6,17.71244383665525,15,12.8,2.793188995020703,India,Boini_2022
61,Boini,2022,SE_p,36,15,21,HC,PSP,FTD,56.4,17.6,4.544300459550036,72.8,10,2.182178902359924,India,Boini_2022
61,Boini,2022,N1_p,36,15,21,HC,PSP,FTD,14.7,14.1,3.6406043454349715,6.8,3.9,0.8510497719203703,India,Boini_2022
61,Boini,2022,N2_p,36,15,21,HC,PSP,FTD,15.5,13.9,3.5889645674855397,56.7,8.4,1.8330302779823362,India,Boini_2022
61,Boini,2022,N3_p,36,15,21,HC,PSP,FTD,2.6,4.6,1.187714892836941,16.9,7.3,1.5929905987227444,India,Boini_2022
61,Boini,2022,REM_p,36,15,21,HC,PSP,FTD,5.8,6.3,1.6266530054071149,18.1,7.4,1.6148123877463438,India,Boini_2022
